일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/04/28","2501.53","5.72","0.23","2511.79","2517.13","2489.58","777535.0","1.4024831E7","1.979839469E9"
"2023/04/27","2495.81","10.98","0.44","2484.31","2499.01","2465.83","733500.0","1.1142115E7","1.97410109E9"
"2023/04/26","2484.83","-4.19","-0.17","2489.49","2498.56","2481.38","1089216.0","1.2397514E7","1.964553908E9"
"2023/04/25","2489.02","-34.48","-1.37","2531.35","2531.35","2472.33","886422.0","1.368115E7","1.967147727E9"
"2023/04/24","2523.50","-20.90","-0.82","2538.36","2541.89","2518.73","927191.0","1.1589467E7","1.996621732E9"
"2023/04/21","2544.40","-18.71","-0.73","2556.70","2559.44","2532.32","970398.0","1.2614673E7","2.012374092E9"
"2023/04/20","2563.11","-11.97","-0.46","2566.06","2573.94","2552.06","951423.0","1.2415524E7","2.026470351E9"
"2023/04/19","2575.08","3.99","0.16","2570.06","2582.11","2568.46","956994.0","1.2750865E7","2.036483236E9"
"2023/04/18","2571.09","-4.82","-0.19","2582.23","2582.23","2557.19","896932.0","1.4106396E7","2.032968742E9"
"2023/04/17","2575.91","4.42","0.17","2570.30","2577.08","2561.14","775752.0","1.2793678E7","2.036226926E9"
"2023/04/14","2571.49","9.83","0.38","2580.10","2581.74","2560.53","892446.0","1.3088201E7","2.032335488E9"
"2023/04/13","2561.66","11.02","0.43","2534.71","2561.66","2531.07","841719.0","1.1996436E7","2.024512511E9"
"2023/04/12","2550.64","2.78","0.11","2546.36","2561.37","2536.23","900750.0","1.4426259E7","2.016495718E9"
"2023/04/11","2547.86","35.78","1.42","2523.33","2550.97","2514.42","768176.0","1.4050595E7","2.014288066E9"
"2023/04/10","2512.08","21.67","0.87","2491.68","2519.99","2490.17","717648.0","1.3539855E7","1.986876447E9"
"2023/04/07","2490.41","31.18","1.27","2478.64","2493.06","2473.89","586993.0","1.1250171E7","1.969009467E9"
"2023/04/06","2459.23","-35.98","-1.44","2488.00","2488.00","2458.50","751378.0","1.1332653E7","1.943849429E9"
"2023/04/05","2495.21","14.70","0.59","2482.61","2497.61","2478.67","632720.0","9811877.0","1.972182474E9"
"2023/04/04","2480.51","8.17","0.33","2475.87","2489.71","2472.79","832555.0","1.3496867E7","1.960644519E9"
"2023/04/03","2472.34","-4.52","-0.18","2485.81","2485.81","2467.59","811724.0","1.1300346E7","1.954443677E9"
"2023/03/31","2476.86","23.70","0.97","2459.94","2481.24","2456.54","722612.0","1.290337E7","1.957926358E9"
"2023/03/30","2453.16","9.24","0.38","2452.97","2462.70","2439.43","629052.0","1.084664E7","1.937575538E9"
"2023/03/29","2443.92","8.98","0.37","2432.63","2443.95","2428.61","497218.0","8829889.0","1.930378482E9"
"2023/03/28","2434.94","25.72","1.07","2418.69","2434.94","2415.34","524016.0","8812618.0","1.923151536E9"
"2023/03/27","2409.22","-5.74","-0.24","2423.94","2423.94","2395.97","472847.0","8534650.0","1.902810299E9"
"2023/03/24","2414.96","-9.52","-0.39","2421.27","2423.76","2399.49","470659.0","9248184.0","1.90731461E9"
"2023/03/23","2424.48","7.52","0.31","2398.27","2424.48","2397.91","567704.0","1.0367437E7","1.914529716E9"
"2023/03/22","2416.96","28.61","1.20","2411.25","2417.47","2402.78","501412.0","7890323.0","1.908726635E9"
"2023/03/21","2388.35","9.15","0.38","2396.54","2399.52","2383.17","355195.0","7269040.0","1.886502692E9"
"2023/03/20","2379.20","-16.49","-0.69","2391.87","2405.99","2378.70","346034.0","6072911.0","1.879711532E9"
"2023/03/17","2395.69","17.78","0.75","2403.70","2405.35","2382.80","364176.0","8617060.0","1.893380949E9"
"2023/03/16","2377.91","-1.81","-0.08","2357.98","2382.79","2346.11","320194.0","7865787.0","1.878507613E9"
"2023/03/15","2379.72","30.75","1.31","2380.09","2395.36","2370.77","443751.0","7591756.0","1.880140744E9"
"2023/03/14","2348.97","-61.63","-2.56","2390.36","2390.78","2348.19","485076.0","7794604.0","1.856250945E9"
"2023/03/13","2410.60","16.01","0.67","2400.45","2413.24","2369.79","380740.0","7702302.0","1.904640758E9"
"2023/03/10","2394.59","-24.50","-1.01","2389.82","2400.87","2383.19","413411.0","7875520.0","1.892450859E9"
"2023/03/09","2419.09","-12.82","-0.53","2440.79","2444.20","2416.25","476375.0","1.0357639E7","1.911583468E9"
"2023/03/08","2431.91","-31.44","-1.28","2435.58","2442.61","2426.52","438359.0","9967055.0","1.922025069E9"
"2023/03/07","2463.35","0.73","0.03","2457.04","2475.73","2455.65","450481.0","1.0732466E7","1.945941992E9"
"2023/03/06","2462.62","30.55","1.26","2452.46","2464.45","2441.07","418814.0","9781226.0","1.945884267E9"
"2023/03/03","2432.07","4.22","0.17","2438.73","2442.10","2423.08","371882.0","7845380.0","1.921472037E9"
"2023/03/02","2427.85","15.00","0.62","2414.61","2440.59","2411.85","428342.0","9660274.0","1.91850511E9"
"2023/02/28","2412.85","10.21","0.42","2417.58","2431.67","2407.29","529790.0","9274200.0","1.906496015E9"
"2023/02/27","2402.64","-20.97","-0.87","2405.42","2405.56","2383.76","357218.0","6598230.0","1.898711781E9"
"2023/02/24","2423.61","-15.48","-0.63","2442.49","2452.97","2421.47","369900.0","6991100.0","1.915633306E9"
"2023/02/23","2439.09","21.41","0.89","2430.01","2449.62","2422.62","400992.0","7451977.0","1.928501536E9"
"2023/02/22","2417.68","-41.28","-1.68","2430.87","2435.98","2416.16","427482.0","8386250.0","1.911701229E9"
"2023/02/21","2458.96","3.84","0.16","2457.51","2466.07","2446.00","494661.0","7333623.0","1.943888914E9"
"2023/02/20","2455.12","3.91","0.16","2453.25","2463.17","2430.27","390013.0","7535474.0","1.944743467E9"
"2023/02/17","2451.21","-24.27","-0.98","2447.66","2471.51","2445.74","514047.0","8364504.0","1.941744158E9"
"2023/02/16","2475.48","47.58","1.96","2444.06","2475.99","2442.07","388027.0","9170363.0","1.961021978E9"
"2023/02/15","2427.90","-37.74","-1.53","2473.09","2473.44","2424.16","387067.0","8758718.0","1.923761984E9"
"2023/02/14","2465.64","12.94","0.53","2471.33","2480.34","2459.83","349432.0","6738874.0","1.953249936E9"
"2023/02/13","2452.70","-17.03","-0.69","2461.96","2462.58","2440.86","486399.0","7371041.0","1.942812752E9"
"2023/02/10","2469.73","-11.79","-0.48","2470.65","2473.80","2454.74","662366.0","8402619.0","1.954699937E9"
"2023/02/09","2481.52","-2.12","-0.09","2470.66","2487.14","2466.61","610694.0","8986377.0","1.963858471E9"
"2023/02/08","2483.64","31.93","1.30","2469.42","2487.35","2465.96","415677.0","8001678.0","1.96548208E9"
"2023/02/07","2451.71","13.52","0.55","2440.14","2456.17","2432.40","451159.0","7594011.0","1.939610903E9"
"2023/02/06","2438.19","-42.21","-1.70","2461.82","2469.42","2438.04","566819.0","7671311.0","1.929318578E9"
"2023/02/03","2480.40","11.52","0.47","2466.54","2485.08","2460.21","496861.0","8027061.0","1.963172031E9"
"2023/02/02","2468.88","19.08","0.78","2481.94","2486.20","2454.60","693116.0","9121678.0","1.953996214E9"
"2023/02/01","2449.80","24.72","1.02","2446.03","2453.29","2433.37","666296.0","8596021.0","1.938780673E9"
"2023/01/31","2425.08","-25.39","-1.04","2449.92","2457.48","2423.37","617196.0","1.0394784E7","1.918934215E9"
"2023/01/30","2450.47","-33.55","-1.35","2484.64","2491.13","2446.59","475410.0","9220413.0","1.94015103E9"
"2023/01/27","2484.02","15.37","0.62","2474.52","2497.40","2464.53","509288.0","9092447.0","1.966558579E9"
"2023/01/26","2468.65","40.08","1.65","2436.18","2468.65","2426.40","486832.0","8206399.0","1.953918426E9"
"2023/01/25","2428.57","33.31","1.39","2426.58","2432.71","2421.51","550087.0","6665406.0","1.922275331E9"
"2023/01/20","2395.26","14.92","0.63","2380.00","2395.97","2372.57","302507.0","5025541.0","1.895790659E9"
"2023/01/19","2380.34","12.02","0.51","2354.56","2380.34","2354.56","370099.0","5448179.0","1.882551677E9"
"2023/01/18","2368.32","-11.07","-0.47","2380.36","2383.00","2356.84","537393.0","5498577.0","1.872694002E9"
"2023/01/17","2379.39","-20.47","-0.85","2400.92","2404.00","2374.65","536811.0","6314018.0","1.881433259E9"
"2023/01/16","2399.86","13.77","0.58","2390.06","2410.22","2387.61","517762.0","6532807.0","1.897375182E9"
"2023/01/13","2386.09","20.99","0.89","2377.34","2397.01","2375.78","862230.0","6976741.0","1.886570607E9"
"2023/01/12","2365.10","5.57","0.24","2376.72","2377.80","2358.33","580433.0","7837777.0","1.870238983E9"
"2023/01/11","2359.53","8.22","0.35","2364.05","2369.66","2350.36","369011.0","6297145.0","1.865737441E9"
"2023/01/10","2351.31","1.12","0.05","2348.04","2370.18","2344.18","359914.0","6702908.0","1.859599299E9"
"2023/01/09","2350.19","60.22","2.63","2315.87","2351.06","2312.56","342096.0","7028981.0","1.858632833E9"
"2023/01/06","2289.97","25.32","1.12","2253.40","2300.62","2253.27","398607.0","6764112.0","1.811418923E9"
"2023/01/05","2264.65","8.67","0.38","2268.20","2281.39","2252.97","430977.0","7521178.0","1.791816776E9"
"2023/01/04","2255.98","37.30","1.68","2205.98","2260.06","2198.82","412841.0","6487598.0","1.783808766E9"
"2023/01/03","2218.68","-6.99","-0.31","2230.98","2230.98","2180.67","410245.0","6149083.0","1.753771077E9"
"2023/01/02","2225.67","-10.73","-0.48","2249.95","2259.88","2222.37","346345.0","5200138.0","1.7592418E9"
"2022/12/29","2236.40","-44.05","-1.93","2265.73","2272.67","2236.38","361194.0","6036542.0","1.767235221E9"
"2022/12/28","2280.45","-52.34","-2.24","2296.45","2296.45","2276.90","405894.0","7566893.0","1.801877943E9"
"2022/12/27","2332.79","15.65","0.68","2327.52","2335.99","2321.48","448499.0","7126994.0","1.844141209E9"
"2022/12/26","2317.14","3.45","0.15","2312.54","2321.92","2304.20","427845.0","5205750.0","1.83172764E9"
"2022/12/23","2313.69","-43.04","-1.83","2325.86","2333.08","2311.90","366989.0","5935798.0","1.829395536E9"
"2022/12/22","2356.73","27.78","1.19","2340.00","2356.73","2335.75","553053.0","9460859.0","1.863411614E9"
"2022/12/21","2328.95","-4.34","-0.19","2346.39","2347.00","2325.78","329724.0","5102490.0","1.840550909E9"
"2022/12/20","2333.29","-18.88","-0.80","2344.73","2353.86","2324.66","358771.0","5335838.0","1.844296008E9"
"2022/12/19","2352.17","-7.85","-0.33","2350.78","2358.76","2342.28","323987.0","5018052.0","1.859031541E9"
"2022/12/16","2360.02","-0.95","-0.04","2329.75","2360.44","2326.83","414172.0","7206180.0","1.865107455E9"
"2022/12/15","2360.97","-38.28","-1.60","2383.83","2392.11","2360.95","375386.0","6134217.0","1.865842784E9"
"2022/12/14","2399.25","26.85","1.13","2380.81","2400.18","2379.44","409799.0","5724107.0","1.895655041E9"
"2022/12/13","2372.40","-0.62","-0.03","2385.05","2388.27","2364.87","447565.0","6659361.0","1.874838728E9"
"2022/12/12","2373.02","-16.02","-0.67","2373.58","2381.87","2368.47","499225.0","5822260.0","1.875700661E9"
"2022/12/09","2389.04","17.96","0.76","2382.73","2390.08","2367.25","315674.0","7220198.0","1.888379556E9"
"2022/12/08","2371.08","-11.73","-0.49","2386.90","2387.95","2357.20","351939.0","7552997.0","1.873438918E9"
"2022/12/07","2382.81","-10.35","-0.43","2385.87","2394.88","2377.98","332587.0","6080662.0","1.882795765E9"
"2022/12/06","2393.16","-26.16","-1.08","2397.70","2416.88","2390.20","368636.0","6477022.0","1.891336961E9"
"2022/12/05","2419.32","-15.01","-0.62","2442.17","2442.22","2413.05","385586.0","7717406.0","1.911915923E9"
"2022/12/02","2434.33","-45.51","-1.84","2471.50","2471.50","2434.33","468847.0","7328393.0","1.924204751E9"
"2022/12/01","2479.84","7.31","0.30","2501.43","2501.43","2474.33","491383.0","8850099.0","1.959622743E9"
"2022/11/30","2472.53","39.14","1.61","2424.44","2472.53","2421.42","594127.0","1.2469429E7","1.95384081E9"
"2022/11/29","2433.39","25.12","1.04","2405.54","2433.87","2401.10","550175.0","6533346.0","1.923006248E9"
"2022/11/28","2408.27","-29.59","-1.21","2425.05","2425.65","2401.95","350497.0","6462501.0","1.903723176E9"
"2022/11/25","2437.86","-3.47","-0.14","2442.21","2449.66","2433.57","438394.0","6347579.0","1.926846987E9"
"2022/11/24","2441.33","23.32","0.96","2437.51","2441.33","2428.12","481185.0","6849559.0","1.929930653E9"
"2022/11/23","2418.01","12.74","0.53","2424.36","2427.28","2407.58","474789.0","7477108.0","1.911397949E9"
"2022/11/22","2405.27","-14.23","-0.59","2405.96","2426.40","2401.50","539169.0","7253676.0","1.901129947E9"
"2022/11/21","2419.50","-24.98","-1.02","2446.05","2448.14","2409.36","544529.0","7049427.0","1.912994305E9"
"2022/11/18","2444.48","1.58","0.06","2448.13","2471.87","2442.87","589586.0","7444437.0","1.932865881E9"
"2022/11/17","2442.90","-34.55","-1.39","2466.50","2467.39","2442.90","914519.0","8556989.0","1.931710185E9"
"2022/11/16","2477.45","-2.88","-0.12","2487.00","2487.00","2446.79","657834.0","9880428.0","1.959009891E9"
"2022/11/15","2480.33","5.68","0.23","2482.76","2485.20","2463.65","617401.0","9308852.0","1.959323045E9"
"2022/11/14","2474.65","-8.51","-0.34","2485.18","2499.43","2470.60","731166.0","1.1216385E7","1.954401825E9"
"2022/11/11","2483.16","80.93","3.37","2466.90","2486.46","2463.51","758248.0","1.3917648E7","1.960950353E9"
"2022/11/10","2402.23","-22.18","-0.91","2405.77","2426.10","2401.99","899127.0","9344425.0","1.897654097E9"
"2022/11/09","2424.41","25.37","1.06","2408.54","2429.65","2403.64","680722.0","9342672.0","1.915468947E9"
"2022/11/08","2399.04","27.25","1.15","2387.20","2400.39","2375.67","500088.0","8601453.0","1.894800321E9"
"2022/11/07","2371.79","23.36","0.99","2360.22","2373.28","2354.22","392509.0","8059881.0","1.872576585E9"
"2022/11/04","2348.43","19.26","0.83","2325.85","2348.43","2316.29","436430.0","7927339.0","1.853798828E9"
"2022/11/03","2329.17","-7.70","-0.33","2297.45","2342.86","2296.44","550428.0","9273251.0","1.838688384E9"
"2022/11/02","2336.87","1.65","0.07","2326.05","2346.32","2323.37","450635.0","9568101.0","1.844237342E9"
"2022/11/01","2335.22","41.61","1.81","2301.58","2335.57","2297.57","597206.0","9476615.0","1.842767623E9"
"2022/10/31","2293.61","25.21","1.11","2293.75","2295.51","2273.73","401400.0","8679296.0","1.810255609E9"
"2022/10/28","2268.40","-20.38","-0.89","2276.73","2292.65","2266.44","427245.0","8289371.0","1.789451214E9"
"2022/10/27","2288.78","39.22","1.74","2266.07","2290.56","2262.02","587872.0","8435337.0","1.806510988E9"
"2022/10/26","2249.56","14.49","0.65","2240.70","2258.11","2234.49","563442.0","7492743.0","1.776494531E9"
"2022/10/25","2235.07","-1.09","-0.05","2237.04","2253.24","2230.75","456770.0","7030017.0","1.765049718E9"
"2022/10/24","2236.16","23.04","1.04","2248.26","2256.67","2229.85","444820.0","6846985.0","1.765515578E9"
"2022/10/21","2213.12","-4.97","-0.22","2210.59","2224.04","2204.64","637486.0","6228174.0","1.747594294E9"
"2022/10/20","2218.09","-19.35","-0.86","2225.53","2231.52","2200.44","1108103.0","8325030.0","1.751305188E9"
"2022/10/19","2237.44","-12.51","-0.56","2249.35","2266.80","2234.59","895161.0","7738879.0","1.765921333E9"
"2022/10/18","2249.95","30.24","1.36","2249.15","2251.74","2220.71","580892.0","7249919.0","1.775708706E9"
"2022/10/17","2219.71","7.16","0.32","2187.17","2221.05","2177.66","498781.0","6526810.0","1.752293076E9"
"2022/10/14","2212.55","49.68","2.30","2200.66","2220.54","2193.63","513524.0","7161818.0","1.745972217E9"
"2022/10/13","2162.87","-39.60","-1.80","2198.29","2198.34","2162.87","792452.0","7169779.0","1.707061504E9"
"2022/10/12","2202.47","10.40","0.47","2191.35","2205.02","2181.65","658348.0","7409131.0","1.737572148E9"
"2022/10/11","2192.07","-40.77","-1.83","2193.02","2193.05","2174.06","859509.0","7867859.0","1.729423095E9"
"2022/10/07","2232.84","-5.02","-0.22","2217.84","2245.88","2215.08","428683.0","7831444.0","1.761987171E9"
"2022/10/06","2237.86","22.64","1.02","2230.43","2250.87","2223.36","643016.0","6850065.0","1.765200352E9"
"2022/10/05","2215.22","5.84","0.26","2248.85","2253.93","2204.03","855790.0","9509080.0","1.747613734E9"
"2022/10/04","2209.38","53.89","2.50","2189.51","2212.38","2180.84","421003.0","7500281.0","1.741825455E9"
"2022/09/30","2155.49","-15.44","-0.71","2161.11","2177.20","2134.77","950270.0","7923751.0","1.698450563E9"
